iter	Passed	Remaining
615	1346	839
616	1348	836
617	1349	834
618	1351	831
619	1353	829
620	1355	827
621	1357	824
622	1358	822
623	1361	820
624	1363	817
625	1365	815
626	1366	813
627	1368	810
628	1370	808
629	1372	805
630	1373	803
631	1375	801
632	1378	798
633	1379	796
634	1381	794
635	1383	791
636	1385	789
637	1386	786
638	1388	784
639	1389	781
640	1391	779
641	1393	777
642	1395	774
643	1397	772
644	1398	769
645	1400	767
646	1402	765
647	1404	762
648	1405	760
649	1407	757
650	1409	755
651	1411	753
652	1413	751
653	1415	748
654	1416	746
655	1418	743
656	1420	741
657	1422	739
658	1423	736
659	1426	734
660	1427	732
661	1429	729
662	1431	727
663	1433	725
664	1434	722
665	1436	720
666	1438	718
667	1440	715
668	1442	713
669	1443	711
670	1445	708
671	1447	706
672	1448	704
673	1450	701
674	1452	699
675	1454	697
676	1456	694
677	1458	692
678	1460	690
679	1462	688
680	1463	685
681	1465	683
682	1467	681
683	1469	678
684	1470	676
685	1472	674
686	1474	671
687	1476	669
688	1478	667
689	1480	664
690	1481	662
691	1483	660
692	1485	658
693	1487	655
694	1489	653
695	1491	651
696	1493	649
697	1495	646
698	1496	644
699	1498	642
700	1500	639
701	1502	637
702	1503	635
703	1506	633
704	1508	631
705	1509	628
706	1511	626
707	1513	624
708	1515	622
709	1517	619
710	1519	617
711	1521	615
712	1523	613
713	1525	611
714	1527	608
715	1529	606
716	1530	604
717	1532	601
718	1534	599
719	1536	597
720	1538	595
721	1539	592
722	1541	590
723	1543	588
724	1545	586
725	1546	583
726	1548	581
727	1550	579
728	1552	576
729	1554	574
730	1556	572
731	1558	570
732	1559	568
733	1561	565
734	1563	563
735	1565	561
736	1567	559
737	1569	557
738	1571	554
739	1573	552
740	1574	550
741	1576	548
742	1578	545
743	1580	543
744	1582	541
745	1584	539
746	1586	537
747	1588	535
748	1590	533
749	1592	530
750	1594	528
751	1596	526
752	1598	524
753	1600	522
754	1601	519
755	1604	517
756	1605	515
757	1607	513
758	1609	511
759	1611	508
760	1613	506
761	1614	504
762	1616	502
763	1618	500
764	1621	498
765	1624	496
766	1627	494
767	1629	492
768	1634	490
769	1637	489
770	1639	486
771	1641	484
772	1642	482
773	1644	480
774	1646	477
775	1647	475
776	1649	473
777	1651	471
778	1654	469
779	1655	467
780	1657	464
781	1659	462
782	1661	460
